def_team_id,def_team_name,games,avg_def_ppm,std_def_ppm,min_def_ppm,max_def_ppm,p90_def_ppm,p10_def_ppm,avg_pts_allowed,ceiling_factor,cv_def_ppm,def_ppm_grade
1610612760,Oklahoma City Thunder,23,0.43828710644677665,0.032809020217116604,0.38333333333333336,0.5041666666666663,0.47666666666666685,0.3966666666666668,107.1304347826087,1.0875671669445992,0.07485737028200888,A+
1610612745,Houston Rockets,20,0.4503724788549122,0.04221782655291213,0.38333333333333336,0.5541666666666666,0.5041666666666665,0.40708333333333324,109.7,1.1194437722938309,0.09373980102037414,A+
1610612738,Boston Celtics,23,0.4603260869565218,0.04200374196476547,0.37499999999999983,0.5375000000000001,0.509166666666667,0.4141666666666667,110.47826086956522,1.1060999606454158,0.0912477983650159,A
1610612765,Detroit Pistons,23,0.4697942302433689,0.030195517912077047,0.4083333333333335,0.5625,0.4875,0.43833333333333335,113.30434782608695,1.0376883508072436,0.06427392242862322,A
1610612744,Golden State Warriors,23,0.470224911129341,0.05942124207699602,0.3291666666666667,0.5791666666666668,0.5283333333333331,0.4025,113.3913043478261,1.1235758055957368,0.12636770334919897,B
1610612752,New York Knicks,22,0.4706439393939394,0.05018941095591758,0.39166666666666644,0.5625000000000003,0.5466666666666667,0.4091666666666668,112.95454545454545,1.161529175050302,0.10663987519003816,B
1610612761,Toronto Raptors,24,0.4708170368471028,0.04935708486841148,0.39583333333333315,0.5791666666666667,0.5329166666666665,0.41374999999999995,113.45833333333333,1.1318975843257992,0.10483283527490558,B
1610612756,Phoenix Suns,23,0.4719168717528028,0.0459020846018758,0.3999999999999999,0.5541666666666665,0.5341509433962263,0.4100000000000002,113.82608695652173,1.1318750724301772,0.09726730987893141,B
1610612753,Orlando Magic,23,0.47263809133169266,0.04919021209828811,0.3916666666666666,0.5750000000000001,0.5558333333333334,0.42249999999999976,113.91304347826087,1.1760231422889171,0.10407585211697826,B
1610612759,San Antonio Spurs,22,0.4750107204116638,0.0476201504497644,0.3833333333333333,0.5666666666666664,0.54,0.42125,114.5,1.136816448125663,0.10025068572872381,B
1610612755,Philadelphia 76ers,22,0.4755918115709145,0.04854610303031562,0.40833333333333344,0.6000000000000002,0.5279166666666666,0.4212499999999999,116.31818181818181,1.110020513017075,0.10207514479688852,B
1610612750,Minnesota Timberwolves,22,0.4764329616923957,0.04117039133872453,0.4000000000000001,0.5708333333333332,0.5329166666666665,0.43790094339622637,115.45454545454545,1.1185554097131065,0.08641381820535286,B
1610612742,Dallas Mavericks,24,0.47891003397672227,0.03854186166035781,0.4208333333333331,0.5499999999999999,0.5325000000000002,0.42874999999999974,116.41666666666667,1.1118998605610395,0.0804782922176802,B
1610612739,Cleveland Cavaliers,24,0.4813875786163522,0.0363578410587223,0.39583333333333315,0.5416666666666665,0.5237499999999998,0.4387499999999999,116.08333333333333,1.0880006532478665,0.07552716911230926,B
1610612737,Atlanta Hawks,24,0.48140565134099617,0.049551949665939454,0.4083333333333333,0.5749999999999997,0.5558333333333336,0.4191666666666665,116.5,1.154604919541374,0.10293179884346663,B
1610612763,Memphis Grizzlies,23,0.48168922614164617,0.05347330593770591,0.3999999999999998,0.6083333333333337,0.5458333333333333,0.41250000000000003,116.1304347826087,1.133164919849847,0.11101204477008893,B
1610612746,Los Angeles Clippers,23,0.48389624417625554,0.050645059559279636,0.38333333333333336,0.5833333333333337,0.5408333333333335,0.4275,117.08695652173913,1.1176638377386106,0.10466098914550069,B
1610612743,Denver Nuggets,22,0.4842945969125214,0.049426625740395136,0.3666666666666667,0.5791666666666667,0.5454166666666668,0.43499999999999983,116.81818181818181,1.1262084486257151,0.10205900717352648,B
1610612747,Los Angeles Lakers,22,0.48541666666666666,0.031907760164733553,0.3958333333333336,0.525,0.5195833333333335,0.44333333333333325,116.5,1.070386266094421,0.06573272480288457,C
1610612749,Milwaukee Bucks,24,0.48624213836477986,0.03387480795658953,0.4125000000000001,0.5625000000000001,0.5362499999999997,0.45541666666666675,117.70833333333333,1.1028455941794657,0.06966654118153902,C
1610612748,Miami Heat,23,0.4887646978397594,0.04933730263842805,0.4000000000000002,0.5833333333333334,0.5449999999999999,0.4316666666666668,117.8695652173913,1.1150559817613448,0.10094285216687887,C
1610612766,Charlotte Hornets,23,0.4890689089417555,0.052684408387034753,0.3583333333333333,0.6000000000000003,0.5441666666666666,0.42092767295597466,118.43478260869566,1.1126584755594693,0.10772389621133958,C
1610612751,Brooklyn Nets,22,0.4914772727272727,0.04615645968923277,0.42916666666666664,0.5708333333333334,0.557083333333333,0.43,117.95454545454545,1.1334874759152211,0.09391372144861235,C
1610612754,Indiana Pacers,23,0.4932408795602199,0.06008223764549161,0.3583333333333332,0.6333333333333333,0.5608333333333333,0.4241666666666667,119.43478260869566,1.137037412295144,0.12181114772778308,C
1610612757,Portland Trail Blazers,23,0.5005400601586,0.03735689528680307,0.4291666666666668,0.5833333333333331,0.5524999999999998,0.4516666666666667,120.69565217391305,1.103807754817738,0.07463317776196823,D
1610612741,Chicago Bulls,22,0.5057079414838035,0.04422536850338447,0.40833333333333344,0.5958333333333333,0.5333333333333334,0.46249999999999986,122.54545454545455,1.0546271663610303,0.08745239074874384,D
1610612740,New Orleans Pelicans,23,0.5072600492206726,0.03878116271004788,0.4124999999999998,0.5708333333333334,0.5516666666666665,0.45559748427672964,123.3913043478261,1.087542114767796,0.07645223149276037,D
1610612758,Sacramento Kings,22,0.5097412807318468,0.044898934103441805,0.42264150943396234,0.5999999999999999,0.5541666666666668,0.4479166666666667,122.81818181818181,1.0871528118559233,0.08808180895017845,D
1610612762,Utah Jazz,22,0.5161010725340588,0.05272086333414317,0.4291666666666665,0.6083333333333334,0.5820833333333334,0.44999999999999984,125.5909090909091,1.1278475560519596,0.10215220649568402,D-
1610612764,Washington Wizards,21,0.5287720024100745,0.045803687213786394,0.44583333333333336,0.6166666666666664,0.5835359499826331,0.4708333333333333,128.14285714285714,1.1035681679872453,0.08662275424004884,D-
